wallet_address,credit_score,score_category,base_score,risk_adjusted_score,total_transactions,total_volume,tenure_days,liquidation_count,repay_consistency_score
0x00016fc0c9f7620e920e1423fd455f9574f48025,630.6727096030709,Fair (500-699),502.43525740584806,552.6787831464329,2,12652993450.826145,1,0,1.0
0x0002761e848b24046a53d494847b11a3e1d36b09,579.5070701585161,Fair (500-699),486.07698962275333,534.6846885850287,1,1008031423844.5638,0,0,1.0
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,608.8060272170652,Fair (500-699),495.44421713192,544.9886388451121,2,1.0104389999999999,7,0,1.0
0x0003816b25fd3d6c112eb65c089760fa3f791947,798.2673990854997,Good (700-899),556.0172870519167,611.6190157571084,4,1.00026e+16,0,0,1.0
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,701.4523790824031,Good (700-899),525.0643655243255,577.570802076758,37,535690890172878.3,100,0,0.0
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,641.5599607820114,Fair (500-699),505.9160420132586,556.5076462145845,2,2100.051359,0,0,1.0
0x0003f46779806fe779e7f30eec95dbdb4d45840b,643.5004926006195,Fair (500-699),506.5364532790028,557.1900986069031,24,6702.512638,82,0,0.7179059197943445
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,818.3921139074258,Good (700-899),562.4513994306396,618.6965393737037,10,3230.306083,82,0,1.0
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,473.8128632868321,Poor (300-499),452.2852856999984,497.51381426999825,2,845893155781.2314,0,0,0.0
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,745.7523233442386,Good (700-899),539.2275883214637,593.1503471536101,6,81999990000000.0,0,0,1.0
0x0005696d4be2359526c497fe4a4c0620b41f2426,792.6859974550176,Good (700-899),554.2328460976437,609.6561307074081,7,103156179929371.97,0,0,1.0
0x000660cad76200a2e326f53e033919905e6c50f5,579.4913531197865,Fair (500-699),486.0719646972156,534.6791611669372,1,1.064772,0,0,1.0
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,579.5116224783255,Fair (500-699),486.07844505392325,534.6862895593156,1,1300000000000.0,0,0,1.0
0x00080000158a9930aeb508823103b0a977161c47,623.9991301756465,Fair (500-699),500.30163412798674,550.3317975407855,2,3000000000000.0,9,0,1.0
0x00099b1263c22ae2ce0a52624cef2a012e751970,608.8061006949811,Fair (500-699),495.44424062368984,544.9886646860589,2,4712595639.187231,7,0,1.0
0x0009ce45d5df78e632a0b4987079432dfba2253a,579.4919923841712,Fair (500-699),486.0721690776964,534.6793859854661,1,41000000000.0,0,0,1.0
0x000a27ba176083e4b50177378cbe7469a00dd557,791.1089661555552,Good (700-899),553.7286503018131,609.1015153319945,12,873.3587650000002,33,0,1.0
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,621.9729974949696,Fair (500-699),499.6538552413277,549.6192407654605,43,5.204052395703801e+16,25,0,2.78856788130583e-10
0x000ab43e658935ba39504a1424b01756c1e9644c,463.6236058498867,Poor (300-499),449.02765805234503,493.93042385757957,2,110000000000.0,0,0,0.0
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,889.812323057032,Good (700-899),585.2852957539706,643.8138253293677,77,390905196192656.2,123,0,1.0
0x000c8e2871750f458bf1de8ab528dda09bc95db6,286.2063722512417,Very Poor (0-299),560.4360619995505,431.53576773965386,4,3.4712e+16,0,0,1.0
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,830.1387387932401,Good (700-899),566.2069361055588,622.8276297161148,71,137652692402.22406,66,0,0.9490384531410917
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,764.5414200360309,Good (700-899),545.2346875861932,599.7581563448126,6,200272000000080.1,30,0,1.0
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,579.4913687116006,Fair (500-699),486.07196968210536,534.6791666503159,1,1000000000.0,0,0,1.0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,579.4929123012124,Fair (500-699),486.0724631861931,534.6797095048124,1,100000000000.0,0,0,1.0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,578.2625681586699,Fair (500-699),485.6791074269851,534.2470181696837,8,282569021219.354,80,0,0.5709792707622298
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,627.756327287682,Fair (500-699),501.5028550477243,551.6531405524968,8,3192625413161.585,20,0,1.0
0x000e840a3122ec28d0c29321db172375cb049762,765.8870818719168,Good (700-899),545.6649117932172,600.2314029725391,10,383708442045496.44,26,0,1.0
0x000e9bd1d42999446d60ff60f1fb3afb13604202,824.8402063631509,Good (700-899),564.5129318228069,620.9642250050877,22,18225311980969.508,1,0,1.0
0x000eab293e332bd6e67018a9150e8807bfac3233,579.5100632968996,Fair (500-699),486.0779465649457,534.6857412214404,1,1200000000000.0,0,0,1.0
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,700.4576928788598,Good (700-899),524.7463524308831,577.2209876739715,2,112092343527428.53,15,0,1.0
0x000f4432a40560bbff1b581a8b7aded8dab80026,879.2717373277986,Good (700-899),581.9153442431267,640.1068786674394,25,916672306686400.8,18,0,1.0
0x000f7f22bfc28d940d4b68e13213ab17cf107790,353.1008178539742,Poor (300-499),590.988855583304,455.06141879914406,73,1.50210180878499e+20,2,0,1.0
0x000f908720f9ce164d90f4fc89459fab4442907f,874.1357736552542,Good (700-899),580.2733151393808,638.300646653319,96,4646538410248442.0,1,0,1.0
0x000fbfec300959d0f2f327728a889c1f5de8e2df,710.0120493285071,Good (700-899),527.8009946281694,580.5810940909864,8,1223282264572785.8,8,0,1.0
0x0011730224657eb527cf736039854c3a3f140e63,823.0784527102655,Good (700-899),563.9496780780165,620.3446458858182,4,1.0478e+16,0,0,1.0
